,latitude,longitude,brightness,acq_date,satellite,confidence,frp,fire_type
362,-13.5219,142.6561,302.6,2019-08-01,Terra,30,5.5,0
363,-14.3159,143.5057,304.1,2019-08-01,Terra,36,5.8,0
364,-14.7895,144.2807,364.3,2019-08-01,Terra,100,120.3,0
365,-14.7879,144.2913,364.8,2019-08-01,Terra,100,121.9,0
366,-14.7991,144.2823,321.0,2019-08-01,Terra,100,22.3,0
367,-14.7974,144.2929,340.5,2019-08-01,Terra,100,53.2,0
368,-14.7958,144.3035,323.8,2019-08-01,Terra,100,25.0,0
369,-14.7942,144.3141,322.2,2019-08-01,Terra,100,23.1,0
370,-14.8038,144.3157,308.6,2019-08-01,Terra,75,9.9,0
371,-14.824,144.3362,303.4,2019-08-01,Terra,19,4.7,0
372,-15.3764,142.2424,301.1,2019-08-01,Terra,37,4.6,0
373,-15.3774,142.2995,304.6,2019-08-01,Terra,59,6.6,0
374,-15.4345,142.7305,300.6,2019-08-01,Terra,31,3.8,0
375,-12.5569,141.8909,310.6,2019-08-01,Terra,81,10.1,0
376,-13.2537,141.9714,313.8,2019-08-01,Terra,42,10.9,0
